sprint;systemTime;modelTime;task;storyPoints;picked/accepted/rejected;description;
10;21035;776;309;7;ACCEPTED;accepted for execution;
11;0;800;329;4;PICKED;picked for inspection;
11;0;800;329;4;ACCEPTED;accepted for execution;
11;2254;806;335;1;PICKED;picked for inspection;
11;2254;806;335;1;ACCEPTED;accepted for execution;
11;2633;807;336;3;PICKED;picked for inspection;
11;2633;807;336;3;ACCEPTED;accepted for execution;
11;4136;811;338;5;PICKED;picked for inspection;
11;4136;811;338;5;ACCEPTED;accepted for execution;
11;7139;819;341;10;PICKED;picked for inspection;
11;7139;819;341;10;ACCEPTED;accepted for execution;
11;13143;835;351;2;PICKED;picked for inspection;
11;13143;835;351;2;ACCEPTED;accepted for execution;
11;14272;838;355;5;PICKED;picked for inspection;
11;14272;838;355;5;ACCEPTED;accepted for execution;
11;17276;846;363;4;PICKED;picked for inspection;
11;17276;846;363;4;ACCEPTED;accepted for execution;
11;19529;852;367;8;PICKED;picked for inspection;
11;19529;852;367;8;ACCEPTED;accepted for execution;
11;24034;864;378;8;PICKED;picked for inspection;
11;24034;864;378;8;ACCEPTED;accepted for execution;
11;28537;876;383;6;PICKED;picked for inspection;
11;28537;876;383;6;REJECTED;Mostafa cannot finish task within the remaining time;
11;28537;876;383;6;PICKED;No other tasks could be accepted - trying to break this task;
11;28537;876;383;2;ACCEPTED;broke task into smaller parts-accepted for execution; 
11;28537;876;383;2;ACCEPTED;accepted for execution;
11;29664;879;383;2;PICKED;picked for inspection;
11;29664;879;383;2;REJECTED;Mostafa cannot finish task within the remaining time;
11;29664;879;383;2;PICKED;No other tasks could be accepted - trying to break this task;
11;29664;879;383;2;REJECTED;Could not break this task- Mostafa finished for this sprint;
12;50;880;385;7;PICKED;picked for inspection;
12;50;880;385;7;ACCEPTED;accepted for execution;
12;4183;891;393;10;PICKED;picked for inspection;
12;4183;891;393;10;ACCEPTED;accepted for execution;
